endTime,artistName,trackName,msPlayed
2022-03-12 05:44,Harry Styles,To Be So Lonely,191866
2022-03-12 05:47,Prateek Kuhad,for your time,185545
2022-03-18 05:22,Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,51780
2022-03-18 05:30,Natalie Taylor,Surrender,1092
2022-03-18 05:30,El Profesor,Bella Ciao [HUGEL Remix],13020
2022-03-18 05:30,Olivia Rodrigo,traitor,229226
2022-03-18 05:33,Post Malone,Circles,117400
2022-03-18 05:39,Post Malone,Circles,99092
2022-03-18 05:42,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",158027
2022-03-18 05:45,Ashe,Moral of the Story,201083
2022-03-18 05:48,SAINt JHN,Roses - Imanbek Remix,5607
2022-03-18 20:17,Chord Overstreet,Hold On,198853
2022-03-18 20:19,Noah Cyrus,July,117551
2022-03-19 04:33,Kaushal K,Aazmale,78860
2022-03-19 16:07,Ashley Park,"Mon Soleil - from ""Emily in Paris"" Soundtrack",208694
2022-03-20 06:36,R3HAB,Flames (with ZAYN),14810
2022-03-20 06:39,Ariana Grande,positions,76703
2022-03-20 07:12,Billie Eilish,i love you,1750
2022-03-20 07:13,Post Malone,Better Now,30004
2022-03-20 07:16,Justin Bieber,Holy (feat. Chance The Rapper),212093
2022-03-20 07:20,The Chainsmokers,Roses,226738
2022-03-20 07:21,Tate McRae,you broke me first,46266
2022-03-20 07:21,Ariana Grande,positions,12244
2022-03-20 07:29,Tate McRae,you broke me first,87184
2022-03-20 11:58,The Rembrandts,I'll Be There for You - TV Version with Dialogue,100
2022-03-20 11:58,Ariana Grande,positions,0
2022-03-20 11:58,DJ Khaled,POPSTAR (feat. Drake),530
2022-03-20 12:01,BTS,Dynamite,74209
2022-03-21 13:56,Kali Uchis,telepatía,6815
2022-03-21 13:56,Billie Eilish,Your Power,12441
2022-03-21 13:56,Dua Lipa,Don't Start Now,0
2022-03-21 13:56,Olivia O'Brien,hate u love u,1613
2022-03-21 13:59,Shawn Mendes,Treat You Better,187973
2022-03-21 14:03,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),217706
2022-03-21 14:06,Lauv,I Like Me Better,197436
2022-03-21 14:07,Lewis Capaldi,Someone You Loved,773
2022-03-21 14:07,Lewis Capaldi,Someone You Loved,61872
2022-03-21 14:07,Lewis Capaldi,Someone You Loved,0
2022-03-21 14:07,Selena Gomez,Kill Em With Kindness - Acoustic,23
2022-03-21 14:11,Selena Gomez,Kill Em With Kindness - Acoustic,110420
2022-03-21 14:18,5 Seconds of Summer,She Looks So Perfect,106880
2022-03-22 11:05,One Direction,18,246605
2022-03-22 11:08,Jeremy Zucker,comethru,273
2022-03-22 11:08,vaultboy,everything sucks (feat. Eric Nam),13902
2022-03-22 11:08,Peach Tree Rascals,I'm Sorry,7641
2022-03-22 11:08,Jeremy Zucker,18,150015
2022-03-22 11:09,Clinton Kane,CHICKEN TENDIES,20984
2022-03-22 11:12,Jack Gray,I Got 3,194268
2022-03-22 11:15,Jeremy Zucker,talk is overrated,182496
2022-03-22 11:18,PUBLIC,Missing You Today,157560
2022-03-22 11:21,Alexander 23,Nothing's the Same,175135
2022-03-22 11:24,Ruel,too many feelings,186935
2022-03-22 11:26,Fly By Midnight,Automatic (feat. Jake Miller),157472
2022-03-22 11:29,Jeremy Zucker,all the kids are depressed,169973
2022-03-22 11:31,Zach Hood,Isabelle,135000
2022-03-22 11:34,Conan Gray,People Watching,158536
2022-03-22 11:37,Sarcastic Sounds,change ur mind,183451
2022-03-22 11:40,Valley,Like 1999,144742
2022-03-22 11:42,Jeremy Zucker,brooklyn boy,115195
2022-03-22 11:45,Taylor Swift,I Knew You Were Trouble.,219720
2022-03-22 11:47,Bella Poarch,Build a Bitch,122772
2022-03-22 11:50,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",158027
2022-03-22 11:53,THE ANXIETY,Meet Me At Our Spot - Live,147828
2022-03-22 11:55,Bazzi,I.F.L.Y.,165714
2022-03-22 12:00,The Chainsmokers,Call You Mine,152376
2022-03-22 17:40,Bazzi,I Like That,23020
2022-03-22 18:03,Billie Eilish,you should see me in a crown,4857
2022-03-22 18:07,The Chainsmokers,Call You Mine,217640
2022-03-22 18:10,CKay,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,188368
2022-03-22 18:13,Julia Michaels,What A Time (feat. Niall Horan),173306
2022-03-22 18:19,Harry Styles,Sign of the Times,340706
2022-03-22 18:22,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),217706
2022-03-22 18:25,Ariana Grande,"break up with your girlfriend, i'm bored",190440
2022-03-22 18:29,One Direction,They Don't Know About Us,200400
2022-03-22 18:31,Olivia Rodrigo,enough for you,119045
2022-03-22 18:35,ZAYN,Entertainer,151420
2022-03-23 07:08,Labrinth,All For Us - from the HBO Original Series Euphoria,47158
2022-03-23 07:12,One Direction,18,248360
2022-03-23 07:16,Taylor Swift,I Knew You Were Trouble.,219720
2022-03-23 07:19,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",158027
2022-03-23 07:22,Kina,Can We Kiss Forever?,187931
2022-03-23 07:29,ZAYN,Sweat,232266
2022-03-23 07:31,Billie Eilish,all the good girls go to hell,168839
2022-03-23 07:35,Hailee Steinfeld,Capital Letters,219373
2022-03-23 07:41,Kali Uchis,telepatía,157121
2022-03-23 11:48,Joji,YEAH RIGHT,159469
2022-03-23 11:51,Wallows,Are You Bored Yet? (feat. Clairo),178000
2022-03-23 11:56,Prateek Kuhad,cold/mess,281218
2022-03-23 11:59,Bazzi,Paradise,169038
2022-03-23 12:02,Bea Miller,feel something,180161
2022-03-23 12:06,FINNEAS,Let's Fall in Love for the Night,190348
2022-03-23 12:10,PUBLIC,Make You Mine,232906
2022-03-23 12:13,Clairo,Sofia,188386
2022-03-23 12:16,Kina,Can We Kiss Forever?,187931
2022-03-23 12:21,Mild High Club,Homage,177493
2022-03-23 12:24,Clairo,Bubble Gum,175960
2022-03-23 12:26,Oscar Lang,million little reasons,163493
2022-03-23 12:29,JVKE,Upside Down,114500
2022-03-23 12:32,Joji,SLOW DANCING IN THE DARK,209273
2022-03-23 12:50,Rex Orange County,Best Friend,224738
2022-03-23 16:30,Rex Orange County,Best Friend,2223
2022-03-23 16:33,Jeremy Zucker,comethru,181614
2022-03-23 16:36,A-Wall,Loverboy,224354
2022-03-23 16:37,Alec Benjamin,Water Fountain,4247
2022-03-23 16:39,Bazzi,I.F.L.Y.,164410
2022-03-23 16:45,JAWNY,Honeypie,134332
2022-03-23 16:48,Bruno Major,Nothing,162798
2022-03-23 16:52,Prateek Kuhad,Tune Kaha,216859
2022-03-23 16:52,Sexy Pigeon,Avocado Toast,4285
2022-03-23 16:55,Calum Scott,You Are The Reason,204255
2022-03-23 16:59,Christian Leave,Can't Help Falling in Love,134404
2022-03-23 17:03,JP Saxe,If the World Was Ending (feat. Julia Michaels),208554
2022-03-23 17:14,Anuv Jain,Baarishein,207156
2022-03-23 17:14,Clinton Kane,I GUESS I'M IN LOVE,4302
2022-03-23 17:17,Olivia O'Brien,Complicated,187685
2022-03-23 17:22,24kGoldn,CITY OF ANGELS,111289
2022-03-23 17:25,Kina,Get You The Moon (feat. Snøw),177716
2022-03-23 17:26,Bea Miller,feel something,60210
2022-03-23 19:29,Pritam,Tha Kar Ke,3972
2022-03-23 19:30,Imran Khan,Amplifier,49796
2022-03-23 19:30,James TW,You & Me,21565
2022-03-23 19:30,James Arthur,Falling Like The Stars,523
2022-03-23 19:30,Pink Sweat$,17,13775
2022-03-23 19:30,Harry Hudson,Yellow Lights,2713
2022-03-23 19:31,Harry Hudson,Yellow Lights,18709
2022-03-23 19:32,Ollie,Better With You,1826
2022-03-23 19:32,James Arthur,Falling Like The Stars,5060
2022-03-23 19:32,James Arthur,Falling Like The Stars,50352
2022-03-23 19:32,James Arthur,Can I Be Him,32174
2022-03-23 19:32,LANY,Malibu Nights,1196
2022-03-23 19:34,Lauv,Never Not,79371
