,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Paradise___Bazzi,0.844,0.644,11,-6.273,0,0.0479,0.0828,0,0.113,0.591,122.061,audio_features,0Rx0DJI556Ix5gBny6EWmn,spotify:track:0Rx0DJI556Ix5gBny6EWmn,https://api.spotify.com/v1/tracks/0Rx0DJI556Ix5gBny6EWmn,https://api.spotify.com/v1/audio-analysis/0Rx0DJI556Ix5gBny6EWmn,169038,4,Soul Searching,4ZKdRW0AH9sxV09NmWsTkW
Hate Everything___GSoul,0.474,0.229,10,-9.47,1,0.0329,0.858,0,0.11,0.289,118.827,audio_features,52UDFFwUueOBfJ2vB5BqRr,spotify:track:52UDFFwUueOBfJ2vB5BqRr,https://api.spotify.com/v1/tracks/52UDFFwUueOBfJ2vB5BqRr,https://api.spotify.com/v1/audio-analysis/52UDFFwUueOBfJ2vB5BqRr,205773,4,Hate Everything,4NV2SxuesqKwcBdDgACH9R
Lover___Taylor Swift,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,audio_features,1dGr1c8CrMLDpV6mPbImSI,spotify:track:1dGr1c8CrMLDpV6mPbImSI,https://api.spotify.com/v1/tracks/1dGr1c8CrMLDpV6mPbImSI,https://api.spotify.com/v1/audio-analysis/1dGr1c8CrMLDpV6mPbImSI,221307,4,Lover,1NAmidJlEaVgA3MpcPFYGq
My Mind & Me___Selena Gomez,0.6,0.389,9,-5.727,1,0.0337,0.566,0,0.0826,0.244,143.577,audio_features,0XER3HPMx223xWaAgNKp4Y,spotify:track:0XER3HPMx223xWaAgNKp4Y,https://api.spotify.com/v1/tracks/0XER3HPMx223xWaAgNKp4Y,https://api.spotify.com/v1/audio-analysis/0XER3HPMx223xWaAgNKp4Y,147597,4,My Mind & Me,5quJSeTB33tFzfp2EZx9z5
Loverboy___A-Wall,0.604,0.466,0,-10.093,1,0.0315,0.649,0.0334,0.093,0.499,120.045,audio_features,3CboywxfJIgvHqi2FF4exb,spotify:track:3CboywxfJIgvHqi2FF4exb,https://api.spotify.com/v1/tracks/3CboywxfJIgvHqi2FF4exb,https://api.spotify.com/v1/audio-analysis/3CboywxfJIgvHqi2FF4exb,224520,4,Loverboy,1K1loWZRyk1Dtk5zIy4qjx
Style___Taylor Swift,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,audio_features,0ug5NqcwcFR2xrfTkc7k8e,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,https://api.spotify.com/v1/tracks/0ug5NqcwcFR2xrfTkc7k8e,https://api.spotify.com/v1/audio-analysis/0ug5NqcwcFR2xrfTkc7k8e,231000,4,1989 (Deluxe),1yGbNOtRIgdIiGHOEBaZWf
Call You Mine___The Chainsmokers,0.585,0.696,4,-5.6,0,0.0307,0.204,0,0.344,0.522,104.01,audio_features,2oejEp50ZzPuQTQ6v54Evp,spotify:track:2oejEp50ZzPuQTQ6v54Evp,https://api.spotify.com/v1/tracks/2oejEp50ZzPuQTQ6v54Evp,https://api.spotify.com/v1/audio-analysis/2oejEp50ZzPuQTQ6v54Evp,217640,4,World War Joy,01GR4NL5O5CZM51k0aejKD
Too Late___SZA,0.445,0.681,11,-7.558,1,0.0829,0.781,0.000789,0.386,0.351,127.541,audio_features,4rAg5bbrdZX00mXXhLvYXj,spotify:track:4rAg5bbrdZX00mXXhLvYXj,https://api.spotify.com/v1/tracks/4rAg5bbrdZX00mXXhLvYXj,https://api.spotify.com/v1/audio-analysis/4rAg5bbrdZX00mXXhLvYXj,164427,5,SOS,07w0rG5TETcyihsEIZR3qG
lightning___mehro,0.602,0.528,3,-7.709,0,0.0304,0.849,4.1e-06,0.128,0.322,149.951,audio_features,5tlMPoBvqEWIV8XOyM6Zcd,spotify:track:5tlMPoBvqEWIV8XOyM6Zcd,https://api.spotify.com/v1/tracks/5tlMPoBvqEWIV8XOyM6Zcd,https://api.spotify.com/v1/audio-analysis/5tlMPoBvqEWIV8XOyM6Zcd,188336,4,SKY ON FIRE,78pXYuIlTIUBQhtQTH8gTP
I Ain't Worried___OneRepublic,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,audio_features,4h9wh7iOZ0GGn8QVp4RAOB,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/audio-analysis/4h9wh7iOZ0GGn8QVp4RAOB,148486,4,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",04PEOM6kIEeq9lRp1asNP2
