,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
3069,Violets___Josh Golden,2022-10-06 19:44,Josh Golden,Violets,114197,2022-10-06 19:44:00,0.572,0.631,9,-6.152,0,0.0701,0.638,0.0,0.451,0.546,95.09,audio_features,25ndwd0OLtkQLkFBaS9RjT,spotify:track:25ndwd0OLtkQLkFBaS9RjT,https://api.spotify.com/v1/tracks/25ndwd0OLtkQLkFBaS9RjT,https://api.spotify.com/v1/audio-analysis/25ndwd0OLtkQLkFBaS9RjT,115263,4,Violets,38yuckLnYIM6TqyKeSQsRU
3070,change ur mind___Sarcastic Sounds,2022-10-06 19:51,Sarcastic Sounds,change ur mind,183260,2022-10-06 19:51:00,0.627,0.575,4,-7.38,1,0.232,0.78,0.0,0.336,0.494,78.546,audio_features,58Mh6zmqSo9IvysPAXnG0h,spotify:track:58Mh6zmqSo9IvysPAXnG0h,https://api.spotify.com/v1/tracks/58Mh6zmqSo9IvysPAXnG0h,https://api.spotify.com/v1/audio-analysis/58Mh6zmqSo9IvysPAXnG0h,183451,4,change ur mind,5Sq4GMxxUnYNkcXZEORRQh
3071,It's Not The Same Anymore___Rex Orange County,2022-10-06 19:51,Rex Orange County,It's Not The Same Anymore,386200,2022-10-06 19:51:00,0.666,0.317,5,-10.644,1,0.0327,0.873,3.74e-05,0.111,0.359,117.676,audio_features,7vRia9rlEuTDQxkfXIKySi,spotify:track:7vRia9rlEuTDQxkfXIKySi,https://api.spotify.com/v1/tracks/7vRia9rlEuTDQxkfXIKySi,https://api.spotify.com/v1/audio-analysis/7vRia9rlEuTDQxkfXIKySi,386200,4,Pony,5CNckxfLf4TCoMOoxgAU8l
3072,i'm always sad cos i'm ugly___suggi,2022-10-06 19:53,suggi,i'm always sad cos i'm ugly,144686,2022-10-06 19:53:00,0.614,0.455,5,-15.957,1,0.0424,0.241,0.139,0.207,0.696,79.001,audio_features,63Gvvee0tJBBvPHkeFSNqV,spotify:track:63Gvvee0tJBBvPHkeFSNqV,https://api.spotify.com/v1/tracks/63Gvvee0tJBBvPHkeFSNqV,https://api.spotify.com/v1/audio-analysis/63Gvvee0tJBBvPHkeFSNqV,144842,4,i'm always sad cos i'm ugly,4fuK1Afu6hWijPeTT6mg5x
3073,There’s No Insurance For a Broken Heart___Ryan Woods,2022-10-06 20:00,Ryan Woods,There’s No Insurance For a Broken Heart,202116,2022-10-06 20:00:00,0.67,0.468,9,-9.428,1,0.0618,0.744,0.0,0.15,0.293,127.951,audio_features,1rUsBnPQKJsUh8ra8IyMKG,spotify:track:1rUsBnPQKJsUh8ra8IyMKG,https://api.spotify.com/v1/tracks/1rUsBnPQKJsUh8ra8IyMKG,https://api.spotify.com/v1/audio-analysis/1rUsBnPQKJsUh8ra8IyMKG,203526,3,King of the Basement,6lxrzoYSxl7Nk7pAQkUe7i
3074,Teenage Mind___Tate McRae,2022-10-06 20:02,Tate McRae,Teenage Mind,155107,2022-10-06 20:02:00,0.671,0.335,4,-9.719,0,0.0605,0.756,1.85e-06,0.109,0.115,119.369,audio_features,1vdjJ55uw3WOuu7ZSyABFP,spotify:track:1vdjJ55uw3WOuu7ZSyABFP,https://api.spotify.com/v1/tracks/1vdjJ55uw3WOuu7ZSyABFP,https://api.spotify.com/v1/audio-analysis/1vdjJ55uw3WOuu7ZSyABFP,155205,4,Teenage Mind,7uxkPJEel1MLzreQUmvra0
3075,snowflake (feat. Jaden & Sarcastic Sounds)___Powfu,2022-10-06 22:19,Powfu,snowflake (feat. Jaden & Sarcastic Sounds),35770,2022-10-06 22:19:00,0.419,0.408,9,-10.899,0,0.25,0.95,0.0,0.35,0.502,62.829,audio_features,7KW1AtQKFToSoF1kmyk2wE,spotify:track:7KW1AtQKFToSoF1kmyk2wE,https://api.spotify.com/v1/tracks/7KW1AtQKFToSoF1kmyk2wE,https://api.spotify.com/v1/audio-analysis/7KW1AtQKFToSoF1kmyk2wE,187500,4,tell me your feelings and i won't tell you mine,0nyUIJbb1bEIRCTpD2sQ2R
3076,snowflake (feat. Jaden & Sarcastic Sounds)___Powfu,2022-10-06 22:19,Powfu,snowflake (feat. Jaden & Sarcastic Sounds),118055,2022-10-06 22:19:00,0.419,0.408,9,-10.899,0,0.25,0.95,0.0,0.35,0.502,62.829,audio_features,7KW1AtQKFToSoF1kmyk2wE,spotify:track:7KW1AtQKFToSoF1kmyk2wE,https://api.spotify.com/v1/tracks/7KW1AtQKFToSoF1kmyk2wE,https://api.spotify.com/v1/audio-analysis/7KW1AtQKFToSoF1kmyk2wE,187500,4,tell me your feelings and i won't tell you mine,0nyUIJbb1bEIRCTpD2sQ2R
3077,snowflake (feat. Jaden & Sarcastic Sounds)___Powfu,2022-10-06 22:20,Powfu,snowflake (feat. Jaden & Sarcastic Sounds),34250,2022-10-06 22:20:00,0.419,0.408,9,-10.899,0,0.25,0.95,0.0,0.35,0.502,62.829,audio_features,7KW1AtQKFToSoF1kmyk2wE,spotify:track:7KW1AtQKFToSoF1kmyk2wE,https://api.spotify.com/v1/tracks/7KW1AtQKFToSoF1kmyk2wE,https://api.spotify.com/v1/audio-analysis/7KW1AtQKFToSoF1kmyk2wE,187500,4,tell me your feelings and i won't tell you mine,0nyUIJbb1bEIRCTpD2sQ2R
3078,Romantic Homicide___d4vd,2022-10-07 08:58,d4vd,Romantic Homicide,1580,2022-10-07 08:58:00,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,audio_features,1xK59OXxi2TAAAbmZK0kBL,spotify:track:1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/tracks/1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/audio-analysis/1xK59OXxi2TAAAbmZK0kBL,132631,4,Romantic Homicide,4B3FsNFguOEJ4TWEsct83B
3079,Romantic Homicide___d4vd,2022-10-08 07:59,d4vd,Romantic Homicide,131050,2022-10-08 07:59:00,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,audio_features,1xK59OXxi2TAAAbmZK0kBL,spotify:track:1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/tracks/1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/audio-analysis/1xK59OXxi2TAAAbmZK0kBL,132631,4,Romantic Homicide,4B3FsNFguOEJ4TWEsct83B
3080,change ur mind___Sarcastic Sounds,2022-10-08 08:08,Sarcastic Sounds,change ur mind,76784,2022-10-08 08:08:00,0.627,0.575,4,-7.38,1,0.232,0.78,0.0,0.336,0.494,78.546,audio_features,58Mh6zmqSo9IvysPAXnG0h,spotify:track:58Mh6zmqSo9IvysPAXnG0h,https://api.spotify.com/v1/tracks/58Mh6zmqSo9IvysPAXnG0h,https://api.spotify.com/v1/audio-analysis/58Mh6zmqSo9IvysPAXnG0h,183451,4,change ur mind,5Sq4GMxxUnYNkcXZEORRQh
3081,change ur mind___Sarcastic Sounds,2022-10-08 08:23,Sarcastic Sounds,change ur mind,106685,2022-10-08 08:23:00,0.627,0.575,4,-7.38,1,0.232,0.78,0.0,0.336,0.494,78.546,audio_features,58Mh6zmqSo9IvysPAXnG0h,spotify:track:58Mh6zmqSo9IvysPAXnG0h,https://api.spotify.com/v1/tracks/58Mh6zmqSo9IvysPAXnG0h,https://api.spotify.com/v1/audio-analysis/58Mh6zmqSo9IvysPAXnG0h,183451,4,change ur mind,5Sq4GMxxUnYNkcXZEORRQh
3082,The Gold - Phoebe Bridgers Version___Manchester Orchestra,2022-10-08 08:27,Manchester Orchestra,The Gold - Phoebe Bridgers Version,233226,2022-10-08 08:27:00,0.299,0.399,10,-12.176,1,0.0376,0.816,0.00117,0.147,0.302,158.253,audio_features,7qcXUzPwoxSBFxjTbNrV0B,spotify:track:7qcXUzPwoxSBFxjTbNrV0B,https://api.spotify.com/v1/tracks/7qcXUzPwoxSBFxjTbNrV0B,https://api.spotify.com/v1/audio-analysis/7qcXUzPwoxSBFxjTbNrV0B,233227,3,The Gold (Phoebe Bridgers Version),5pCfjopxazLdvmLae6My9w
3083,Teenage Mind___Tate McRae,2022-10-08 08:30,Tate McRae,Teenage Mind,155205,2022-10-08 08:30:00,0.671,0.335,4,-9.719,0,0.0605,0.756,1.85e-06,0.109,0.115,119.369,audio_features,1vdjJ55uw3WOuu7ZSyABFP,spotify:track:1vdjJ55uw3WOuu7ZSyABFP,https://api.spotify.com/v1/tracks/1vdjJ55uw3WOuu7ZSyABFP,https://api.spotify.com/v1/audio-analysis/1vdjJ55uw3WOuu7ZSyABFP,155205,4,Teenage Mind,7uxkPJEel1MLzreQUmvra0
3084,Hate Me!___MASN,2022-10-08 08:33,MASN,Hate Me!,51602,2022-10-08 08:33:00,0.683,0.628,6,-6.512,1,0.123,0.659,0.0,0.106,0.356,142.06,audio_features,6jmf4OxSGzdgthZruXtcqu,spotify:track:6jmf4OxSGzdgthZruXtcqu,https://api.spotify.com/v1/tracks/6jmf4OxSGzdgthZruXtcqu,https://api.spotify.com/v1/audio-analysis/6jmf4OxSGzdgthZruXtcqu,154757,4,How To Kill A Rockstar,19C3hX64lG3BikzOfwmUm6
3085,Haunt You (feat. chloe moriondo)___X Lovers,2022-10-08 08:33,X Lovers,Haunt You (feat. chloe moriondo),167036,2022-10-08 08:33:00,0.582,0.527,3,-7.658,1,0.0372,0.547,0.0,0.498,0.446,100.926,audio_features,185cmBOExC1AHWe3xrbmQ8,spotify:track:185cmBOExC1AHWe3xrbmQ8,https://api.spotify.com/v1/tracks/185cmBOExC1AHWe3xrbmQ8,https://api.spotify.com/v1/audio-analysis/185cmBOExC1AHWe3xrbmQ8,167320,4,Mad World,1MqtK6ggc4XnWH7y7XvUjD
